UpsjYK4bky8|||FUN WITH COLORFUL GAS - TAMIL|||1:41
A6aZxtLkNkY|||FUN WITH CANDLE FOUNTAIN - TAMIL|||1:39
pLcPfSAIWo0|||INVISIBLE GLASS - TAMIL|||2:41
bg3UWgRdaT0|||TWO BOTTLE FOUNTAIN  - TAMIL|||1:57
L-C89rwU2TU|||MUSICAL SOUND - TAMIL|||1:04
YAM_9G2W3pk|||PAPER CIRCUIT GREETINGS - TAMIL|||1:34
vE2tjr-uOzU|||FUN WITH HOT WATER - TAMIL|||1:28
tb60KNLb1XM|||FUN WITH CO2 - TAMIL|||2:14
_FI_V3BRvuQ|||FUN WITH A CANDLE - TAMIL|||1:55
he7qWIXuXds|||AIR HAS WEIGHT - TAMIL|||2:26
Qp32wyj7LYQ|||HIDING FISH - TAMIL|||2:43
exC-617kOYM|||SODA BOTTLE FOUNTAIN - TAMIL|||1:52
0MWmycrOLi8|||RESISTANT PENCIL - TAMIL|||2:24
ptsAcQsKhSQ|||BOTTLE SHOWER - TAMIL|||1:28
9uuMiPH16SM|||BI-METALLIC ALARM - TAMIL|||1:31
-rqU91ZihqI|||SHIMMERING MATCHBOX - TAMIL|||1:07
M5bFVCfBCpg|||TERRIFIC TORNADO - TAMIL|||1:10
BzoDqQWQ8z8|||STRAW FLUTE - TAMIL|||1:26
ZR2g7k6BRLk|||TIN SHRINK - TAMIL|||2:37
Z1tToWDsbI8|||L. E. D. TORCH - TAMIL|||2:00
yszossEqBgk|||BRAIN MUSCLE COORDINATION - TAMIL|||55
ce1aehzLvWg|||MOVING MONKEYS - TAMIL|||1:28
kjQ2Fqbzguc|||SHIMMERING FISH - TAMIL|||1:37
8zi15fa32WI|||POTATO INERTIA - TAMIL|||46
qk0lVJmBBKE|||EXPANSION OF AIR - TAMIL|||1:23
_9RaVcmUy-w|||EduClassics Title Hindi|||6
3waWdeY9c4I|||Teacher - Hindi - Sylvia Ashton Warner|||7:10
YkkwJrQ3MDU|||TEACHER - ENGLISH - SYLVIA ASHTON-WARNER|||5:04
w6F5EHHoABg|||TOTTOCHAN - ENGLISH - TETSUKO KUROYANAGI|||8:38
HMQ_OG8kzD4|||TOTTOCHAN – HINDI - TETSUKO KUROYANAGI|||9:05
-f3HalMhjpI|||DIVASWAPNA  - ENGLISH - GIJUBHAI BADHEKA|||15:59
FmJNcgUFLso|||DIVASWAPNA - HINDI - GIJUBHAI BADHEKA|||15:40
Ix-MLurnLGw|||I WISH TO BE A HUMMING BIRD - TAMIL - WANGHARI MATTHAI|||2:02
VIBno4fblh0|||MOTOR PUMP - NEPALI|||3:42
p9HMxK1hXGg|||DROP BY DROP - NEPALI|||2:57
k8OB4wJ3qMU|||NEWTON'S BOAT - NEPALI|||1:31
Mj8WUPYbBOg|||SOLAR BOAT - NEPALI|||2:20
CTfkyCH1poM|||CD Yo-Yo  - MARATHI|||2:11
32EVtVNgXb4|||STAR WARS SLINKY - KANNADA|||4:14
zSWyvFmxL6Y|||ENERGY STICK - KANNADA|||3:47
CJSILX1dAyM|||COLOUR PERCEPTION - KANNADA|||3:46
mM8XWb1gem4|||STROOP TEST - KANNADA|||3:57
Hq3AOIMPk4Q|||POD ART - ITALIAN|||2:22
JiuJEc6b9i0|||NEWSPAPER CAP - ITALIAN|||2:43
OXnMY19e9Ao|||LEAF ZOO - ITALIAN|||1:31
F77ou_8Le5c|||FUN SPIRAL - ITALIAN|||1:44
TLg13L4bWQ4|||BALANCING JOKER - ITALIAN|||1:19
bgzQ1gdsUeo|||Soft Hand | Kannada|||2:52
Ks85AkOflTk|||Rectilinear Propagation of Light | English|||2:05
oIecNfK3bgE|||Egg in Bottle | Nepali|||1:31
hs4Y2-t9aZA|||Simple Tornado | Italian|||1:25
WpUrgNNe81I|||Woodpecker | Italian|||1:35
W1aDbE-Uzio|||Sythetic Bouncy Ball | Nepali|||1:38
RoZVm15LYJY|||Jet Car | Nepali|||1:01
RM7KkYspum8|||Dumper | Italian|||1:06
Jjj8znuVLEo|||Wow balance | Italian|||41
DjdhXEm9sNY|||Pen Box | Italian|||1:26
6jiMgUZwWzU|||Gandhi Cap | Nepali|||1:55
3d6HRG19txE|||No Magnet Motor | Nepali|||2:55
p3wrYwJOf2U|||Tooth Paste Pump | Italian|||1:23
nG4ULw7VsWk|||Spooky Spoke | Italian|||45
lOYhf5FzJy8|||Simple Motor | Italian|||52
SxNsng7yH7g|||Stick Spinner | Italian|||1:08
Kp9tbOPOFk4|||Straw Propeller | Italian|||1:43
EhcYSKuENnQ|||Levitation Pencil | Italian|||2:01
Ag8VMnFyYj4|||Pencil Spinner |  Italian|||57
Ab6ylaWgKuA|||Spiral snake | Italian|||1:39
AUwWxOCjDnw|||Which holds more | Italian|||1:18
0oN25TWK-JE|||Straw Centrifuge Pump | Italian|||1:12
066_tg36QlI|||Thread Loop | Italian|||1:06
nQAmwEFKMiQ|||Pulfrich Effect | Kannada|||3:51
TwAEPTPa_78|||Paper circuit greeting card | Kannada|||1:34
1m5um-CMVY8|||Paper Clip Spinner | Nepali|||58
qYT8eOdQnJs|||Fire without Matches | Nepali|||53
dpKjZRFZKE4|||Cup Amplifier | Kannada|||2:22
c5iFi3HEjL4|||Shimmering Clothes clip | Kannada|||2:02
TFAW4zp5v_s|||Confuser Phones | Kannada|||3:33
KylCab2hKEs|||Fireless Flame | Nepali|||1:06
AMpHyOW2aNk|||Straw Wire Mecanno | Nepali|||2:47
7EcXr-dxcu8|||Bottle Planter | Nepali|||1:35
HB3NANYCL_8|||CD - Marble Spinner | Marathi|||1:45
lyxDI-FHzkw|||Shirt with Tie | Gujarati|||2:55
jGhSGnoqdVk|||LORD GANESHA’S SWEET - MODAK | Gujarati|||4:12
dGN_LvB0xVM|||MAGNETIC OSCILLATOR | Gujarati|||2:17
bwd1HygwAP4|||Fat Rat | Gujarati|||5:36
bXpM-MJRGDg|||CUP SPINNER | Nepali|||1:47
O4Glu_HRpgo|||Spin Fan Light LED | Gujarati|||59
A818SOnNSGc|||CROWN CAP WHISTLE | Nepali|||1:09
8PiqIrbIOSc|||Lucky Star | Nepali|||2:38
64TutYy33Pw|||WIRELESS ELECTRICITY TRANSMISSION | Gujarati|||6:39
5sbPDPYMfFA|||POD PHAT-PHAT | Nepali|||43
3x3SkKDKpvo|||WELL OF DEATH | Nepali|||1:43
y0rp_9qPG3Q|||Party Popper | Marathi|||1:18
jKGHTv_pafA|||CD-PROTRACTOR | Punjabi|||2:16
f5YE38lsSJA|||MAGNETIC RAIL |  Punjabi|||2:45
LuAYBKiZp1I|||FLUTTERING BUTTERFLY | Punjabi|||1:56
DDg7hdQgiW0|||SPIN FUN | Punjabi|||1:56
749K0nT4Wlo|||BALANCING BIRD | Punjabi|||1:41
mTTuv4GS94I|||Syringe Generator | Nepali|||1:42
nV6o_ijD3A0|||Levitating CD | Nepali|||2:49
X6twFW87sOI|||Bottle box | Nepali|||2:31
ML5KjjbAHKQ|||Marble Mouse | Nepali|||2:01
J4IbfVbO9Rg|||Climbing Butterfly | Nepali|||2:00
8zLLM11J6Wg|||Water Squirt | Nepali|||1:18
